ќценка.1,ќценка.2,ќценка.3,ќценка.4
100,94,100,88
75,100,80,88
60,92,96,100
100,92,100,82
NA,88,NA,76
NA,96,84,87
100,92,78,85
100,78,100,82
NA,86,NA,87
100,100,82,87
NA,94,NA,96
100,92,100,91
100,80,82,85
NA,86,NA,87
100,80,74,94
100,76,100,72
100,96,82,87
NA,96,NA,91
100,86,88,96
75,86,84,96
NA,100,NA,96
100,94,100,80
NA,84,NA,89
80,96,96,89
100,86,92,94
90,92,94,98
80,94,92,98
80,92,98,100
85,98,84,91
100,94,100,94
100,100,100,98
100,98,100,94
100,84,94,83
100,99,98,85
100,88,80,94
85,86,90,91
100,98,96,91
100,84,90,89
100,92,86,89
70,88,76,98
85,94,88,96
80,82,100,98
100,96,100,96
NA,88,NA,82
100,90,100,94
100,80,74,87
80,94,78,87
80,82,100,82
70,88,90,87
NA,82,NA,82
100,98,100,94
100,84,100,89
80,80,96,91
80,88,92,91
95,95,92,100
90,98,94,100
80,98,86,94
55,70,60,85
70,92,92,94
65,80,88,94
100,98,100,91
100,98,100,94
100,94,78,96
100,96,100,91
100,86,70,96
NA,100,NA,98
75,100,64,96
100,88,78,89
100,90,68,94
100,98,94,94
100,99,100,98
NA,98,NA,89
85,98,96,98
100,86,70,87
60,80,100,98
75,80,94,94
80,84,98,94
80,94,94,94
100,82,86,73
100,99,100,85
100,98,82,91
80,90,100,78
100,86,90,100
75,82,94,91
100,94,82,73
100,94,84,89
80,84,98,87
100,84,100,96
100,92,80,91
85,76,86,96
100,100,88,94
80,84,84,98
100,94,78,91
80,86,90,100
100,76,100,94
100,99,100,98
70,88,84,94
100,80,80,96
100,94,88,96
NA,100,96,96
80,82,94,91
NA,90,NA,76
100,99,86,91
80,94,90,89
70,88,92,100
100,94,70,93
70,82,89,100
70,80,94,98
NA,94,92,73
NA,86,80,76
80,86,80,88
100,94,100,87
75,74,94,91
100,94,88,100
75,82,98,94
70,94,94,91
100,82,78,91
100,84,90,91
100,99,96,82
80,100,89,86
75,88,90,98
100,100,84,91
100,92,90,85
100,88,92,82
NA,88,NA,96
NA,86,88,94
80,72,98,98
100,99,100,96
100,84,98,85
NA,88,80,78
100,100,100,96
100,90,98,96
NA,100,NA,94
100,100,100,100
100,88,94,96
80,82,86,98
100,100,82,91
70,84,92,96
100,94,94,94
100,92,70,76
80,92,96,83
65,92,80,100
100,84,84,87
90,88,96,96
100,88,90,82
100,78,100,76
80,94,98,96
85,84,96,78
100,78,74,81
100,86,78,78
100,98,96,85
70,86,90,98
70,84,90,91
70,82,100,91
100,94,92,94
100,84,84,89
70,98,88,98
100,94,96,91
70,84,94,91
55,84,92,96
100,88,74,96
100,100,100,91
100,96,92,76
60,80,92,100
75,88,94,94
100,78,96,87
80,86,86,85
100,92,100,82
100,94,100,94
75,86,82,94
100,96,88,89
100,96,100,98
80,80,90,96
75,90,98,98
100,94,78,96
100,86,92,86
75,92,100,91
100,82,78,94
100,98,94,87
75,90,100,87
85,86,90,96
NA,92,86,73
100,88,100,73
100,88,86,100
100,84,84,87
100,82,74,85
85,88,86,98
85,86,96,94
70,96,96,91
65,80,96,87
100,76,78,89
70,88,82,98
90,82,92,85
100,94,78,87
NA,84,NA,NA
100,86,72,100
NA,92,90,96
100,100,100,98
100,90,86,94
100,90,100,89
65,92,96,98
100,88,100,72
80,92,94,86
80,78,92,94
NA,88,NA,98
70,78,88,94
100,96,98,94
70,88,88,91
80,92,92,89
100,100,100,96
100,86,78,94
80,78,90,96
100,88,100,96
100,99,100,94
80,88,84,91
100,90,92,82
100,90,88,94
85,92,86,85
75,74,86,98
100,94,86,91
100,90,98,91
100,80,78,89
80,90,96,96
75,82,80,96
80,78,88,96
60,90,90,96
100,86,92,78
90,99,96,94
75,92,100,91
75,96,94,78
100,84,76,87
100,96,61,82
60,80,86,78
70,92,92,89
100,96,92,82
90,99,84,94
85,90,80,96
70,90,92,87
70,86,86,98
85,96,94,91
85,90,86,96
100,84,90,98
70,94,94,94
100,82,82,80
70,90,92,88
50,62,44,61
65,90,84,98
90,88,86,93
90,96,94,78
100,94,68,93
85,88,90,78
70,80,90,96
100,99,72,73
NA,96,NA,61
60,82,48,76
100,96,80,96
100,88,82,85
100,80,80,98
80,82,86,89
100,78,100,89
100,76,92,85
100,90,56,98
70,80,90,91
100,84,92,98
85,92,100,100
85,88,88,89
85,98,90,82
75,88,80,96
55,94,86,96
75,84,90,70
60,75,83,56
50,68,51,71
65,86,76,87
100,88,92,86
70,78,83,88
60,88,70,91
90,90,98,69
70,82,83,90
75,86,85,88
100,94,100,98
100,99,92,85
100,86,100,82
100,82,84,89
100,92,92,87
90,82,84,91
100,82,100,89
100,100,100,89
100,88,96,96
40,80,78,78
100,86,94,91
100,94,100,89
65,84,78,85
60,70,78,78
60,82,86,96
80,88,88,96
100,90,100,98
100,80,61,76
100,80,100,94
50,74,100,98
85,94,88,87
100,78,100,91
85,80,96,91
75,78,94,94
65,90,94,100
100,92,100,96
65,98,96,87
90,100,94,96
100,100,100,98
60,88,61,94
40,76,66,96
80,77,92,82
100,94,92,91
60,80,84,98
60,78,55,91
40,82,82,87
100,84,94,98
100,80,100,98
70,68,59,78
100,78,86,91
65,84,74,98
100,80,94,98
65,78,94,100
55,74,80,89
60,82,88,98
100,84,92,94
60,92,88,89
80,96,96,98
70,84,58,85
80,70,96,96
